,header,ankle_theta,ankle_thetadot,knee_theta,knee_thetadot,forceX,forceY,forceZ,momentX,momentY,momentZ,shank_accelX,shank_accelY,shank_accelZ,shank_gyroX,shank_gyroY,shank_gyroZ,foot_accelX,foot_accelY,foot_accelZ,foot_gyroX,foot_gyroY,foot_gyroZ,thigh_accelX,thigh_accelY,thigh_accelZ,thigh_gyroX,thigh_gyroY,thigh_gyroZ,thigh_orientation,intact_thigh_accelX,intact_thigh_accelY,intact_thigh_accelZ,intact_thigh_gyroX,intact_thigh_gyroY,intact_thigh_gyroZ,intact_thigh_orientation
4223,1730296525.2626948,-13.731249809265137,0.0,0.5492500066757202,0.0,5.852352619171143,1.7267920970916748,6.003432273864746,-0.05142592638731003,-0.04078054800629616,-0.005228464957326651,0.988037109375,-0.09521484375,-0.05908203125,-1.0365853309631348,1.1890244483947754,0.8231707215309143,0.9044777154922485,-0.033144883811473846,-9.780664443969727,-0.006657123100012541,-0.003417264437302947,-0.0026033492758870125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4224,1730296525.2727177,-13.731249809265137,0.0,0.5492500066757202,0.0,4.8149094581604,0.1946871131658554,6.003429412841797,-0.06693065911531448,-0.029274793341755867,-0.004462185315787792,0.988037109375,-0.093505859375,-0.060546875,-1.0060975551605225,1.0670732259750366,0.7621951103210449,0.9360399842262268,-0.16794411838054657,-9.735250473022461,-0.007982003502547741,-0.004661479499191046,-0.001222705584950745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4225,1730296525.2828405,-13.731249809265137,0.0,0.5492500066757202,0.0,3.7594058513641357,-2.6881604194641113,6.324377536773682,-0.07880955934524536,0.0004938849597238004,-0.005143527407199144,0.9873046875,-0.099609375,-0.06494140625,-1.097561001777649,0.7317073345184326,0.8231707215309143,0.9760749340057373,-0.27609890699386597,-9.732931137084961,-0.004867082461714745,-0.006531559396535158,-0.0011725446674972773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4226,1730296525.292709,-13.731249809265137,0.0,0.5492500066757202,0.0,2.2605974674224854,-4.147751331329346,6.388143062591553,-0.08297255635261536,0.026109913364052773,-0.004391239024698734,0.98681640625,-0.097412109375,-0.06396484375,-1.0365853309631348,0.4878048896789551,0.8536585569381714,1.0053837299346924,-0.3093344569206238,-9.72294807434082,0.00014468518202193081,-0.004733835346996784,-0.0018921465380117297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4227,1730296525.302713,-13.731249809265137,0.0,0.5492500066757202,0.0,0.7257610559463501,-2.5200979709625244,6.246597766876221,-0.06296651810407639,0.03680075705051422,-0.0017472965409979224,0.991943359375,-0.102294921875,-0.051513671875,-1.1585365533828735,0.27439025044441223,0.7012194991111755,1.028442144393921,-0.2607753574848175,-9.72518253326416,0.0044229840859770775,-0.003605863079428673,-0.0017680918099358678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4228,1730296525.3127134,-13.731249809265137,0.0,0.5492500066757202,0.0,1.371381402015686,0.28880923986434937,6.364068508148193,-0.06829734891653061,0.023875471204519272,0.0007605957216583192,0.987548828125,-0.103515625,-0.041748046875,-1.0060975551605225,0.27439025044441223,0.8536585569381714,1.044568419456482,-0.1536620855331421,-9.736007690429688,0.009970169514417648,-0.0020242808386683464,0.0002965437597595155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4229,1730296525.3226979,-13.731249809265137,0.0,0.5492500066757202,0.0,4.136013031005859,2.541280746459961,7.105833053588867,-0.15447761118412018,-0.03614215552806854,0.0007888511172495782,0.99755859375,-0.106201171875,-0.02734375,-1.097561001777649,0.396341472864151,0.9756097793579102,1.0604487657546997,-0.0031231038738042116,-9.727516174316406,0.00908789224922657,-0.001460044994018972,0.0013787064235657454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4230,1730296525.3327076,-13.731249809265137,0.0,0.5492500066757202,0.0,6.086252689361572,2.7853469848632812,8.225896835327148,-0.22777949273586273,-0.08729226142168045,-0.001963054295629263,0.99609375,-0.099853515625,-0.022216796875,-0.9451219439506531,0.792682945728302,1.0670732259750366,1.075046181678772,0.12901456654071808,-9.740967750549316,0.0065372963435947895,-0.0010935832979157567,0.0002321407664567232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4231,1730296525.342739,-13.731249809265137,0.0,0.5492500066757202,0.0,5.1369099617004395,0.6655635833740234,8.9424409866333,-0.1364738941192627,-0.03263112157583237,-0.004690741654485464,0.990966796875,-0.10302734375,-0.0263671875,-1.0060975551605225,1.1280487775802612,1.1890244483947754,1.083214282989502,0.19582808017730713,-9.734793663024902,0.0026296344585716724,0.0011639900039881468,-0.001738442573696375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4232,1730296525.3579705,-13.731249809265137,0.0,0.5492500066757202,0.0,3.2245535850524902,-0.018180854618549347,8.946991920471191,0.03700654208660126,0.0667123943567276,-0.004979014862328768,0.991943359375,-0.09912109375,-0.034423828125,-1.0060975551605225,1.3719512224197388,1.402438998222351,1.0676578283309937,0.09431331604719162,-9.731704711914062,-0.006918531842529774,0.009010986424982548,-0.0041202884167432785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4233,1730296525.3627143,-13.731249809265137,0.0,0.5492500066757202,0.0,3.07559871673584,3.029665946960449,8.730619430541992,0.08581066131591797,0.08336669951677322,-0.002985506085678935,0.98974609375,-0.098876953125,-0.04443359375,-0.792682945728302,1.4329267740249634,1.6463414430618286,1.0676578283309937,0.09431331604719162,-9.731704711914062,-0.006918531842529774,0.009010986424982548,-0.0041202884167432785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
