,header,ankle_theta,ankle_thetadot,knee_theta,knee_thetadot,forceX,forceY,forceZ,momentX,momentY,momentZ,shank_accelX,shank_accelY,shank_accelZ,shank_gyroX,shank_gyroY,shank_gyroZ,foot_accelX,foot_accelY,foot_accelZ,foot_gyroX,foot_gyroY,foot_gyroZ,thigh_accelX,thigh_accelY,thigh_accelZ,thigh_gyroX,thigh_gyroY,thigh_gyroZ,thigh_orientation,intact_thigh_accelX,intact_thigh_accelY,intact_thigh_accelZ,intact_thigh_gyroX,intact_thigh_gyroY,intact_thigh_gyroZ,intact_thigh_orientation
3499,1730296233.2454798,-9.249369621276855,0.0,0.26363998651504517,0.0,4.5808305740356445,1.978729486465454,4.976483345031738,-0.002167732920497656,-0.0005762643995694816,-0.03528006747364998,0.99755859375,-0.086181640625,-0.034423828125,-1.0365853309631348,0.6707317233085632,1.25,0.8315146565437317,0.04574946314096451,-9.775152206420898,0.005788092967122793,0.006855980958789587,0.0006250981823541224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3500,1730296233.2554832,-9.249369621276855,0.0,0.26363998651504517,0.0,5.2205657958984375,-0.08335508406162262,5.142092704772949,0.019197853282094002,-0.0025395031552761793,-0.02583163045346737,0.9892578125,-0.087890625,-0.033203125,-1.2195122241973877,0.9756097793579102,1.25,0.8087335824966431,0.12898188829421997,-9.791946411132812,0.002917940728366375,0.0058731078170239925,0.0009086556383408606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3501,1730296233.2654881,-9.249369621276855,0.0,0.26363998651504517,0.0,6.92698335647583,-1.2365963459014893,5.5046162605285645,0.01205941941589117,0.009173369966447353,-0.021668560802936554,0.995361328125,-0.084716796875,-0.03271484375,-1.1890244483947754,1.2804877758026123,0.9451219439506531,0.7827222347259521,0.13734681904315948,-9.806536674499512,-0.0004627304442692548,0.0036143760662525892,-6.294689956121147e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3502,1730296233.2754648,-9.249369621276855,0.0,0.26363998651504517,0.0,7.546611785888672,0.13918760418891907,5.5881500244140625,-0.002018188824877143,0.01786259189248085,-0.021666139364242554,0.9921875,-0.08544921875,-0.043701171875,-1.097561001777649,1.2195122241973877,0.9451219439506531,0.7715210318565369,0.085057333111763,-9.818891525268555,-0.004597410559654236,0.0020924084819853306,-0.0012712921015918255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3503,1730296233.2854755,-9.249369621276855,0.0,0.26363998651504517,0.0,6.291541576385498,1.2274335622787476,5.454352378845215,-0.011555500328540802,0.020401764661073685,-0.02172914892435074,0.985595703125,-0.091064453125,-0.05615234375,-0.9756097793579102,1.097561001777649,0.6402438879013062,0.7770479917526245,-0.018327834084630013,-9.797752380371094,-0.005321335047483444,-0.0005938526010140777,-0.0005131583893671632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3504,1730296233.301615,-9.249369621276855,0.0,0.26363998651504517,0.0,5.019028663635254,0.34342947602272034,5.3682475090026855,-0.029872648417949677,0.0179778803139925,-0.02018669992685318,0.98876953125,-0.086181640625,-0.06005859375,-1.097561001777649,0.9756097793579102,0.6097561120986938,0.8275259137153625,-0.201124906539917,-9.75585651397705,-0.002105770632624626,-0.005017801653593779,-0.0014792935689911246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3505,1730296233.3120108,-9.249369621276855,0.0,0.26363998651504517,0.0,4.107913494110107,0.12425246089696884,5.354024410247803,-0.04895471781492233,0.0076124886982142925,-0.018292207270860672,0.988525390625,-0.094482421875,-0.05615234375,-1.3109755516052246,0.6402438879013062,0.6707317233085632,0.8614017367362976,-0.2076391577720642,-9.753412246704102,0.0033865361474454403,-0.007443428039550781,-0.00032978568924590945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3506,1730296233.3219526,-9.249369621276855,0.0,0.26363998651504517,0.0,4.029869556427002,1.624679684638977,5.243424892425537,-0.05060245469212532,-0.006494277156889439,-0.016681404784321785,0.98828125,-0.095703125,-0.0517578125,-1.1280487775802612,0.5182926654815674,0.7621951103210449,0.9009034037590027,-0.1501467525959015,-9.747488021850586,0.005765069276094437,-0.005519710015505552,0.0008214703993871808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3507,1730296233.3329813,-9.249369621276855,0.0,0.26363998651504517,0.0,5.702450752258301,2.4924752712249756,5.017922401428223,-0.04040733352303505,-0.0062240855768322945,-0.016224345192313194,0.9921875,-0.09765625,-0.04345703125,-1.1280487775802612,0.5182926654815674,0.8231707215309143,0.9281363487243652,-0.052161574363708496,-9.75222396850586,0.0050660474225878716,-0.004608462564647198,0.0015090781962499022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3508,1730296233.341962,-9.249369621276855,0.0,0.26363998651504517,0.0,7.480496406555176,1.8027535676956177,4.767083168029785,-0.026143601164221764,0.020914535969495773,-0.017054099589586258,0.98486328125,-0.10009765625,-0.03515625,-1.2195122241973877,0.5487805008888245,0.8536585569381714,0.9570910930633545,0.054878417402505875,-9.74742603302002,0.0052060289308428764,-0.0029003038071095943,0.000892988289706409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3509,1730296233.3519893,-9.249369621276855,0.0,0.26363998651504517,0.0,7.629101276397705,-0.0956077128648758,4.53413724899292,-0.016711384057998657,0.05815824493765831,-0.018283821642398834,0.99169921875,-0.100830078125,-0.0263671875,-1.1890244483947754,0.8231707215309143,1.0365853309631348,0.9717147350311279,0.12744876742362976,-9.731064796447754,0.0024492484517395496,-0.0016412836266681552,0.0010213952045887709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
