,header,ankle_theta,ankle_thetadot,knee_theta,knee_thetadot,forceX,forceY,forceZ,momentX,momentY,momentZ,shank_accelX,shank_accelY,shank_accelZ,shank_gyroX,shank_gyroY,shank_gyroZ,foot_accelX,foot_accelY,foot_accelZ,foot_gyroX,foot_gyroY,foot_gyroZ,thigh_accelX,thigh_accelY,thigh_accelZ,thigh_gyroX,thigh_gyroY,thigh_gyroZ,thigh_orientation,intact_thigh_accelX,intact_thigh_accelY,intact_thigh_accelZ,intact_thigh_gyroX,intact_thigh_gyroY,intact_thigh_gyroZ,intact_thigh_orientation
1633,1730296499.3423858,-12.984270095825195,0.0,0.5053099989891052,0.0,4.049919128417969,-0.1558605581521988,6.076967239379883,-0.04063946008682251,0.023431120440363884,-0.03339866176247597,0.98681640625,-0.08984375,-0.06396484375,-1.0060975551605225,0.9146341681480408,0.9146341681480408,0.8981020450592041,-0.12473034858703613,-9.778926849365234,-0.008773812092840672,-0.00219482253305614,-0.0010151988826692104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1634,1730296499.3523393,-12.984270095825195,0.0,0.5053099989891052,0.0,5.043989658355713,-0.8265220522880554,5.9421281814575195,-0.09474071115255356,0.019821591675281525,-0.029094479978084564,0.986328125,-0.096923828125,-0.06591796875,-1.1585365533828735,0.7317073345184326,0.6402438879013062,0.9149496555328369,-0.24476875364780426,-9.755122184753418,-0.005026669707149267,-0.0026446618139743805,-0.0013352349633350968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1635,1730296499.3623426,-12.984270095825195,0.0,0.5053099989891052,0.0,5.265716552734375,-0.6642905473709106,5.790841579437256,-0.11921948939561844,-0.00022482201165985316,-0.0255645290017128,0.98388671875,-0.098388671875,-0.05419921875,-1.097561001777649,0.3353658616542816,0.6402438879013062,0.9448214173316956,-0.2770511507987976,-9.734777450561523,-0.0005809046560898423,-0.004271827172487974,-0.0014915541978552938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1636,1730296499.3723726,-12.984270095825195,0.0,0.5053099989891052,0.0,4.227870941162109,0.6996360421180725,5.809136867523193,-0.09832317382097244,0.00036770038423128426,-0.02380703203380108,0.988037109375,-0.0947265625,-0.0517578125,-1.25,0.396341472864151,0.7621951103210449,0.9695315361022949,-0.22227910161018372,-9.744156837463379,0.004494530614465475,-0.005804043263196945,0.0001829086395446211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1637,1730296499.3823733,-12.984270095825195,0.0,0.5053099989891052,0.0,3.2388875484466553,1.0465539693832397,6.049905300140381,-0.06107613816857338,0.016521573066711426,-0.02143539860844612,0.995849609375,-0.097900390625,-0.03759765625,-1.1890244483947754,0.4573170840740204,0.8536585569381714,0.9985289573669434,-0.12169782817363739,-9.73383903503418,0.0075409896671772,-0.004164121113717556,-3.078336885664612e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1638,1730296499.3923485,-12.984270095825195,0.0,0.5053099989891052,0.0,4.181036472320557,0.32386794686317444,6.289884090423584,-0.03411494940519333,0.0204654298722744,-0.016276879236102104,0.993896484375,-0.099365234375,-0.029296875,-1.2804877758026123,0.7012194991111755,0.7621951103210449,1.0209101438522339,0.019252311438322067,-9.738012313842773,0.0073404801078140736,-0.004643869120627642,0.0014576667454093695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1639,1730296499.4023802,-12.984270095825195,0.0,0.5053099989891052,0.0,5.855252265930176,0.6558210849761963,6.384403705596924,-0.0030202865600585938,0.011101864278316498,-0.010297060012817383,0.993896484375,-0.109130859375,-0.031494140625,-1.1890244483947754,1.1585365533828735,0.8841463327407837,1.0369532108306885,0.10818061977624893,-9.762125015258789,0.004756600596010685,-0.003641817718744278,0.0010454755974933505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1640,1730296499.4123414,-12.984270095825195,0.0,0.5053099989891052,0.0,5.232802867889404,1.2122856378555298,6.4609880447387695,0.04455683380365372,0.017087439075112343,-0.006366109941154718,0.99365234375,-0.106689453125,-0.034912109375,-1.0670732259750366,1.2804877758026123,0.8231707215309143,1.059072494506836,0.1475430279970169,-9.74931526184082,-0.001297247363254428,-0.003614294109866023,0.00016374443657696247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1641,1730296499.4223418,-12.984270095825195,0.0,0.5053099989891052,0.0,3.3528051376342773,0.33095240592956543,6.555027961730957,0.06969654560089111,0.04703830927610397,-0.001720098196528852,0.98828125,-0.102783203125,-0.048828125,-1.1890244483947754,1.3414634466171265,1.0365853309631348,1.0740382671356201,0.08228097856044769,-9.737439155578613,-0.0065522575750947,-0.0026184902526438236,-0.002313931006938219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1642,1730296499.4323351,-12.984270095825195,0.0,0.5053099989891052,0.0,3.280606985092163,0.028636736795306206,6.542611598968506,0.045180995017290115,0.06637102365493774,0.005246022250503302,0.988037109375,-0.10400390625,-0.054443359375,-1.1280487775802612,1.2195122241973877,1.1585365533828735,1.079872727394104,-0.030467715114355087,-9.72877311706543,-0.00795067474246025,-0.001590346684679389,-0.002731707412749529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
